epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,418.264,0.71007,0.65228,0.97788,0.84934,0.76297,0.82764,0.66635,0.82568,0.73204,0.96154,0.0019293,0.0019293,0.0019293
43,427.507,0.72162,0.66306,0.98442,0.86389,0.76275,0.8224,0.64165,0.8443,0.76077,0.96509,0.0018843,0.0018843,0.0018843
44,436.716,0.71065,0.64147,0.99389,0.90784,0.71881,0.82976,0.66924,0.82167,0.70107,0.95539,0.00183894,0.00183894,0.00183894
45,446.129,0.69766,0.65092,0.99796,0.87631,0.74877,0.81759,0.67043,0.74976,0.73689,0.93507,0.00179326,0.00179326,0.00179326
46,455.449,0.71087,0.65423,0.98734,0.83873,0.77014,0.82655,0.66522,0.80735,0.70582,0.95264,0.00174731,0.00174731,0.00174731
47,464.926,0.69206,0.61682,0.98006,0.90843,0.71067,0.81444,0.6656,0.78859,0.70022,0.93535,0.00170112,0.00170112,0.00170112
48,474.083,0.6872,0.61689,0.98608,0.83959,0.76789,0.80338,0.63098,0.85149,0.76007,0.97159,0.00165475,0.00165475,0.00165475
49,483.649,0.69901,0.61261,0.98773,0.89852,0.70771,0.82381,0.66556,0.76606,0.75593,0.94568,0.00160824,0.00160824,0.00160824
50,492.721,0.6823,0.61489,0.96878,0.90465,0.69373,0.825,0.68178,0.69593,0.72167,0.9238,0.00156164,0.00156164,0.00156164
51,501.97,0.68024,0.59173,0.96751,0.89862,0.72053,0.83818,0.66321,0.79519,0.7277,0.94655,0.001515,0.001515,0.001515
52,511.208,0.66545,0.57835,0.98123,0.88843,0.74346,0.83766,0.6917,0.76974,0.68532,0.93295,0.00146836,0.00146836,0.00146836
53,520.571,0.65406,0.57448,0.96609,0.89829,0.75024,0.82981,0.69057,0.7215,0.67124,0.91718,0.00142176,0.00142176,0.00142176
54,529.868,0.63813,0.55872,0.96568,0.84637,0.76524,0.82438,0.69105,0.71864,0.70881,0.91575,0.00137525,0.00137525,0.00137525
55,539.314,0.6674,0.55467,0.97314,0.8875,0.73144,0.82533,0.67387,0.72503,0.68756,0.9235,0.00132888,0.00132888,0.00132888
56,548.447,0.65878,0.55219,0.96982,0.86258,0.76173,0.8243,0.67772,0.73052,0.64697,0.93617,0.00128269,0.00128269,0.00128269
57,557.944,0.64191,0.54747,0.95658,0.91827,0.72778,0.84642,0.698,0.70586,0.59541,0.91726,0.00123674,0.00123674,0.00123674
58,567.215,0.62669,0.52632,0.9536,0.86278,0.7952,0.85281,0.6976,0.78827,0.62718,0.94565,0.00119106,0.00119106,0.00119106
59,576.34,0.6503,0.54051,0.95963,0.91647,0.74544,0.84264,0.67474,0.82341,0.60353,0.95801,0.0011457,0.0011457,0.0011457
60,585.823,0.63854,0.5294,0.95763,0.83869,0.80603,0.84284,0.69417,0.75432,0.60264,0.93656,0.0011007,0.0011007,0.0011007
61,595.188,0.6385,0.52276,0.96511,0.81697,0.83811,0.84853,0.7159,0.6328,0.5889,0.89385,0.00105611,0.00105611,0.00105611
62,604.431,0.61153,0.50361,0.94107,0.88244,0.78367,0.85058,0.70646,0.7157,0.59127,0.91372,0.00101197,0.00101197,0.00101197
63,614.121,0.62973,0.53499,0.95589,0.91111,0.76321,0.855,0.70258,0.78411,0.59393,0.94456,0.000968335,0.000968335,0.000968335
64,623.332,0.64506,0.51774,0.96758,0.86616,0.77643,0.84696,0.71858,0.67351,0.60956,0.90352,0.000925235,0.000925235,0.000925235
65,632.525,0.63876,0.51565,0.9591,0.85155,0.79663,0.83958,0.69546,0.7371,0.58939,0.92958,0.000882718,0.000882718,0.000882718
66,642.054,0.61544,0.50847,0.9542,0.86041,0.76774,0.83427,0.67464,0.80248,0.66069,0.94761,0.000840824,0.000840824,0.000840824
67,651.449,0.63103,0.50135,0.95171,0.83964,0.79195,0.85437,0.71401,0.71426,0.61776,0.92912,0.000799596,0.000799596,0.000799596
68,661.991,0.61888,0.48204,0.94985,0.8396,0.80303,0.84904,0.69989,0.75346,0.60698,0.91956,0.000759073,0.000759073,0.000759073
69,671.477,0.60883,0.49328,0.94356,0.84018,0.82122,0.84848,0.69509,0.73626,0.58289,0.91848,0.000719297,0.000719297,0.000719297
70,681.457,0.6042,0.48016,0.93156,0.88758,0.80998,0.85413,0.70325,0.69396,0.53976,0.91416,0.000680306,0.000680306,0.000680306
71,691.473,0.60176,0.45867,0.93744,0.87076,0.7933,0.84184,0.69467,0.73808,0.57887,0.92533,0.000642139,0.000642139,0.000642139
72,701.336,0.61829,0.46381,0.94343,0.87555,0.79205,0.84978,0.71129,0.70135,0.55316,0.91286,0.000604833,0.000604833,0.000604833
73,711.171,0.58158,0.44671,0.9332,0.87268,0.78855,0.85484,0.70177,0.78618,0.58073,0.94597,0.000568425,0.000568425,0.000568425
74,720.773,0.58262,0.45026,0.9315,0.89049,0.78902,0.85204,0.69721,0.78045,0.59627,0.93819,0.000532952,0.000532952,0.000532952
75,730.227,0.60957,0.46303,0.94557,0.89719,0.79578,0.85333,0.71159,0.70888,0.58122,0.9059,0.000498448,0.000498448,0.000498448
76,740.493,0.59576,0.44431,0.93805,0.87152,0.8159,0.85486,0.71327,0.71071,0.56571,0.90762,0.000464946,0.000464946,0.000464946
77,750.379,0.56532,0.43502,0.93254,0.86784,0.82055,0.84889,0.71493,0.68703,0.56885,0.90288,0.000432482,0.000432482,0.000432482
78,760.552,0.58594,0.43085,0.94119,0.88785,0.82108,0.84668,0.71231,0.71054,0.56661,0.90643,0.000401085,0.000401085,0.000401085
79,770.945,0.59442,0.44394,0.93341,0.87217,0.8222,0.85345,0.72255,0.68166,0.5556,0.89997,0.000370788,0.000370788,0.000370788
80,780.884,0.57144,0.43956,0.93509,0.8646,0.83286,0.86476,0.72247,0.70176,0.56168,0.9068,0.00034162,0.00034162,0.00034162
81,790.8,0.57131,0.42249,0.92331,0.89365,0.82279,0.85314,0.7163,0.71246,0.56207,0.90818,0.00031361,0.00031361,0.00031361
82,801.064,0.56767,0.4128,0.93016,0.88149,0.83,0.85824,0.71988,0.7047,0.53857,0.90548,0.000286785,0.000286785,0.000286785
83,811.467,0.57714,0.42433,0.93526,0.88341,0.83325,0.85758,0.7211,0.69984,0.54439,0.9001,0.000261173,0.000261173,0.000261173
84,821.535,0.56079,0.41431,0.93027,0.8678,0.83287,0.86113,0.73232,0.66014,0.5401,0.88643,0.000236798,0.000236798,0.000236798
85,831.478,0.59946,0.43064,0.93788,0.87172,0.82622,0.85576,0.71078,0.71567,0.54537,0.90517,0.000213685,0.000213685,0.000213685
86,841.442,0.56642,0.41573,0.93902,0.88681,0.80324,0.85745,0.71672,0.70989,0.54115,0.90484,0.000191855,0.000191855,0.000191855
87,851.488,0.57671,0.42063,0.9294,0.87201,0.82052,0.85783,0.71726,0.69119,0.52171,0.90277,0.000171332,0.000171332,0.000171332
88,861.163,0.54845,0.38181,0.9211,0.88839,0.80951,0.86396,0.71745,0.71595,0.53092,0.91447,0.000152134,0.000152134,0.000152134
89,870.755,0.56419,0.40551,0.93538,0.88916,0.8073,0.85841,0.72113,0.69927,0.53792,0.90894,0.000134282,0.000134282,0.000134282
90,880.884,0.55562,0.39567,0.92656,0.89355,0.803,0.86264,0.72767,0.67822,0.53262,0.89699,0.000117792,0.000117792,0.000117792
91,911.353,0.47889,0.33132,0.86681,0.89589,0.79869,0.86035,0.71888,0.70398,0.53986,0.90154,0.000102681,0.000102681,0.000102681
92,921.613,0.48336,0.32279,0.85578,0.88969,0.79932,0.85999,0.71815,0.72467,0.5543,0.90718,8.89639e-05,8.89639e-05,8.89639e-05
93,931.521,0.47827,0.30479,0.86009,0.88741,0.80491,0.85607,0.72496,0.68477,0.55864,0.89613,7.6654e-05,7.6654e-05,7.6654e-05
94,941.413,0.4759,0.30832,0.85944,0.88427,0.79881,0.8573,0.72815,0.67466,0.5513,0.89386,6.57636e-05,6.57636e-05,6.57636e-05
95,951.136,0.47473,0.30263,0.85956,0.88479,0.79052,0.85726,0.72683,0.67169,0.54194,0.89506,5.63034e-05,5.63034e-05,5.63034e-05
96,960.442,0.47701,0.30776,0.84879,0.87398,0.79904,0.85808,0.72716,0.68183,0.53807,0.89766,4.82828e-05,4.82828e-05,4.82828e-05
97,970.47,0.47844,0.29311,0.85112,0.87966,0.79087,0.85877,0.72446,0.69123,0.53914,0.90014,4.17097e-05,4.17097e-05,4.17097e-05
98,981.792,0.48827,0.30517,0.85008,0.8777,0.79218,0.86002,0.72809,0.68155,0.53361,0.89782,3.65905e-05,3.65905e-05,3.65905e-05
99,992.679,0.46607,0.29471,0.85812,0.85222,0.82039,0.86008,0.72937,0.66415,0.5322,0.89295,3.29303e-05,3.29303e-05,3.29303e-05
